Àmbit;Dimensió;Centre_Territori;Granularitat;Indicador;Sexe;Grup_edat;Any;Resultat;Catalunya;RaO O_E;IC inferior;IC superior
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;75-84;2024;55.49;41.22;1.67;1.529;1.823
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;85+;2024;48.29;40.33;1.58;1.371;1.803
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;Total;2024;53.51;42.26;1.18;1.158;1.209
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;Total;2024;51.35;42.26;1.14;1.116;1.171
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;Total;2024;47.76;42.26;1.06;1.04;1.088
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;65-74;2024;62.39;49.05;1.19;1.129;1.245
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;45-64;2024;50.64;55.71;0.85;0.823;0.873
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;65-74;2024;57.48;49.05;1.09;1.039;1.138
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;65-74;2024;58.42;49.05;1.11;1.066;1.16
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;75-84;2024;48.57;41.05;1.09;1.031;1.145
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;0-14;2024;69.85;47.75;1.37;1.305;1.433
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;85+;2024;43.94;40.12;1.02;0.944;1.107
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;85+;2024;43.44;40.02;0.89;0.806;0.979
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;85+;2024;46.5;40.02;0.95;0.865;1.045
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;85+;2024;45.09;40.02;0.92;0.846;1.006
