any,secció censal,concepte,estat,valor
2024,Alcoletge DC01 SC001,població amb estudis baixos,p,101.4
2024,Alcoletge DC01 SC001,població jove sense estudis postobligatoris,p,119.1
2024,Alcoletge DC01 SC001,població estrangera de països de renda baixa o mitjana,p,105.7
2024,Alcoletge DC01 SC001,renda mitjana per persona,..,null
2024,Alcoletge DC01 SC002,població amb estudis baixos,p,79.4
2024,Alcoletge DC01 SC002,població jove sense estudis postobligatoris,p,103.3
2024,Alcoletge DC01 SC002,població estrangera de països de renda baixa o mitjana,p,97.9
2024,Alcoletge DC01 SC002,renda mitjana per persona,..,null
2024,Alcover DC01 SC001,població amb estudis baixos,p,100.6
2024,Alcover DC01 SC001,població jove sense estudis postobligatoris,p,95.9
2024,Alcover DC01 SC001,població estrangera de països de renda baixa o mitjana,p,95.8
2024,Alcover DC01 SC001,renda mitjana per persona,..,null
2024,Alcover DC02 SC001,població amb estudis baixos,p,96.6
2024,Alcover DC02 SC001,població jove sense estudis postobligatoris,p,101.2
2024,Alcover DC02 SC001,població estrangera de països de renda baixa o mitjana,p,92.6
2024,Alcover DC02 SC001,renda mitjana per persona,..,null
2024,"Aldea, l' DC01 SC001",població amb estudis baixos,p,120.5
2024,"Aldea, l' DC01 SC001",població jove sense estudis postobligatoris,p,134.8
2024,"Aldea, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,115.7
2024,"Aldea, l' DC01 SC001",renda mitjana per persona,..,null
2024,"Aldea, l' DC01 SC002",població amb estudis baixos,p,122.1
2024,"Aldea, l' DC01 SC002",població jove sense estudis postobligatoris,p,131.9
2024,"Aldea, l' DC01 SC002",població estrangera de països de renda baixa o mitjana,p,121.1
2024,"Aldea, l' DC01 SC002",renda mitjana per persona,..,null
2024,Aldover DC01 SC001,població amb estudis baixos,p,128.2
2024,Aldover DC01 SC001,població jove sense estudis postobligatoris,p,110.5
2024,Aldover DC01 SC001,població estrangera de països de renda baixa o mitjana,p,90.7
2024,Aldover DC01 SC001,renda mitjana per persona,..,null
2024,"Aleixar, l' DC01 SC001",població amb estudis baixos,p,97.4
2024,"Aleixar, l' DC01 SC001",població jove sense estudis postobligatoris,p,100.7
2024,"Aleixar, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,96.1
2024,"Aleixar, l' DC01 SC001",renda mitjana per persona,..,null
2024,Alella DC01 SC001,població amb estudis baixos,p,84.4
2024,Alella DC01 SC001,població jove sense estudis postobligatoris,p,82.4
2024,Alella DC01 SC001,població estrangera de països de renda baixa o mitjana,p,85.8
2024,Alella DC01 SC001,renda mitjana per persona,..,null
2024,Alella DC01 SC002,població amb estudis baixos,p,81.8
2024,Alella DC01 SC002,població jove sense estudis postobligatoris,p,84.3
2024,Alella DC01 SC002,població estrangera de països de renda baixa o mitjana,p,91.1
2024,Alella DC01 SC002,renda mitjana per persona,..,null
2024,Alella DC01 SC003,població amb estudis baixos,p,85.0
2024,Alella DC01 SC003,població jove sense estudis postobligatoris,p,77.7
2024,Alella DC01 SC003,població estrangera de països de renda baixa o mitjana,p,84.8
2024,Alella DC01 SC003,renda mitjana per persona,..,null
2024,Alella DC01 SC004,població amb estudis baixos,p,78.6
2024,Alella DC01 SC004,població jove sense estudis postobligatoris,p,75.6
2024,Alella DC01 SC004,població estrangera de països de renda baixa o mitjana,p,91.9
2024,Alella DC01 SC004,renda mitjana per persona,..,null
2024,Alella DC01 SC005,població amb estudis baixos,p,101.0
2024,Alella DC01 SC005,població jove sense estudis postobligatoris,p,88.6
2024,Alella DC01 SC005,població estrangera de països de renda baixa o mitjana,p,85.2
2024,Alella DC01 SC005,renda mitjana per persona,..,null
2024,Alfara de Carles DC01 SC001,població amb estudis baixos,p,97.4
2024,Alfara de Carles DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alfara de Carles DC01 SC001,població estrangera de països de renda baixa o mitjana,p,86.6
2024,Alfara de Carles DC01 SC001,renda mitjana per persona,..,null
2024,Alfarràs DC01 SC001,població amb estudis baixos,p,126.9
2024,Alfarràs DC01 SC001,població jove sense estudis postobligatoris,p,126.9
2024,Alfarràs DC01 SC001,població estrangera de països de renda baixa o mitjana,p,102.7
2024,Alfarràs DC01 SC001,renda mitjana per persona,..,null
2024,Alfarràs DC01 SC002,població amb estudis baixos,p,112.9
2024,Alfarràs DC01 SC002,població jove sense estudis postobligatoris,p,133.9
2024,Alfarràs DC01 SC002,població estrangera de països de renda baixa o mitjana,p,103.3
2024,Alfarràs DC01 SC002,renda mitjana per persona,..,null
2024,Alfés DC01 SC001,població amb estudis baixos,p,102.8
2024,Alfés DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alfés DC01 SC001,població estrangera de països de renda baixa o mitjana,p,84.5
2024,Alfés DC01 SC001,renda mitjana per persona,..,null
